Place,City,State,Full Address,Latitude,Longitude,Rating,Open Time,Close Time,Best Time to Visit,Type,Avg time spent,Avg Cost,Free/Paid
Crawford Market,Mumbai,Maharashtra,Crawford Market Mumbai Maharashtra ,18.9476146,72.8342861,4.1,11:00,20:00,,Shopping,1,0,0
Cyber Hub,Delhi NCR,Delhi NCR,Cyber Hub Delhi NCR ,28.7040592,77.1024902,5,10:00,23:59,"Timings: Most of the restaurants and pubs remain open till midnight. July, August, September, October, November, December, January, February, March",Leisure,4,2000,1
Dakshinachitra,Chennai,Tamil Nadu,"Dakshinachitra  SH 49, Muttukadu, 25 km south of ChennaiTamil Nadu ",12.8230370,80.2420451,4.5,10:00,18:00,10:00 am to 6:00 pm,Art & Museum,3,110,1
Dilli Haat,Delhi NCR,Delhi NCR,Dilli Haat Delhi NCR ,28.5732084,77.2063834,5,10:30,22:00,10:30 am to 10:00 pm,Shopping,1,30,1
Dr Bhau Daji Lad Mumbai City Museum,Mumbai,Maharashtra,"Dr Bhau Daji Lad Mumbai City Museum Byculla East, Mumbai Maharashtra ",18.9789889,72.8348153,3.9,10:00,18:00,,Art & Museum,1,10,1
Durgam Cheruvu,Hyderabad,Telangana,Durgam Cheruvu Hyderabad Telangana ,17.4300414,78.3894594,4.4,10:00,18:30,,Nature & Wildlife,3,0,0
Elephanta Caves,Mumbai,Maharashtra,Elephanta Caves Gharapuri Maharashtra ,18.9633474,72.9314864,3.2,9:00,17:30,	9:00 am to 5:30 pm; closed on Mondays,Heritage,2.5,40,1
Elliot’s Beach,Chennai,Tamil Nadu,"Elliot’s Beach Besant Nagar, Chennai, India Tamil Nadu ",12.9988631,80.2717610,4,0:00,23:59,Open All Day,Beaches,2,0,0
Esselworld,Mumbai,Maharashtra,"Esselworld Gorai, Mumbai Maharashtra ",19.2315460,72.8050577,3.9,10:00,20:00,"10:00AM-7:00PM on Monday to Friday, 10:00AM-8:00PM on Saturday and Sunday",Leisure,7,900,1
Fashion Street,Mumbai,Maharashtra,Fashion Street Mumbai Maharashtra ,18.9389419,72.8301069,4.6,10:30,22:00,,Shopping,1,0,0
Feroz Shah Kotla Fort,Delhi NCR,Delhi NCR,Feroz Shah Kotla Fort Delhi NCR ,28.6351816,77.2448694,3,8:30,19:00,,Heritage,0.5,5,1
Film City,Mumbai,Maharashtra,"Film City Goregaon, Mumbai Maharashtra ",19.1607917,72.8876055,4.5,10:00,17:00,"10:00AM-5:00PM, Open on all days",Entertainment,3,800,1
Fort St. George,Chennai,Tamil Nadu,"Fort St. George Mount Poonamalle High Road, Nandambakkam  Tamil Nadu ",12.9823761,80.0602645,4,9:00,17:00,"St. George Museum: 9:00 am – 5:00 pm (Closed on Friday)
St. Mary’s Church: 10:00 am – 5:00 pm (Monday – Saturday) (Regular masses held on Sundays)",Religious,1,15,1
Fun and Food Village,Delhi NCR,Delhi NCR,Fun and Food Village Delhi NCR ,28.5234967,77.0835123,4,10:00,18:00,Timings: 10:00 am to 7:00 pm,Leisure,5,1000,1
Gandipet Nature & Wildlife,Hyderabad,Telangana,Gandipet Nature & Wildlife Hyderabad Telangana ,17.3845614,78.3201634,4.2,0:00,23:59,,Nature & Wildlife,3,0,0
Garden of Five Senses,Delhi NCR,Delhi NCR,Garden of Five Senses Delhi NCR ,28.5134030,77.1975227,4,9:00,18:00,Summer best time to visit,Leisure,1,35,1
Gateway of India,Mumbai,Maharashtra,Gateway of India Mumbai Maharashtra ,18.9219841,72.8346543,4.6,17:00,22:00,"Late evening and night, Can also see the Taj Hotels.",Heritage,0.5,0,0
Girgaon Chowpatty,Mumbai,Maharashtra,"Girgaon Chowpatty Marine Lines, Mumbai Maharashtra ",18.9537767,72.8145684,4,0:00,23:59,"12:00AM-12:00PM, Open on all days",Beaches,1.5,0,0
Global Vipassana Pagoda,Mumbai,Maharashtra,"Global Vipassana Pagoda Gorai, Mumbai Maharashtra ",19.2282034,72.8058891,4,6:30,18:45,"6:30AM-6:45PM, Open on all days",Leisure,0.5,0,0
Golkonda Fort,Hyderabad,Telangana,Golkonda Fort Hyderabad Telangana ,17.3847636,78.4033392,4.4,9:00,17:30,Evening,Heritage,2,0,0
Government Museum,Chennai,Tamil Nadu,"Government Museum  Pantheon Road, Egmore, ChennaiTamil Nadu ",13.0716298,80.2567955,4,9:30,17:30,9:30 am to 5:30 pm (closed on Fridays and national holidays) ,Art & Museum,1,15,1
Growels 101,Mumbai,Maharashtra,Growels 101 Mumbai Maharashtra ,19.2033444,72.8595734,4.3,11:00,22:00,,Mall,2,0,0
Guindy National Park,Chennai,Tamil Nadu,"Guindy National Park Rangeguindy, Chennai Tamil Nadu ",13.0037019,80.2293430,4,9:00,17:30, 9:00 am to 5:30 pm (closed on Tuesdays) ,Leisure,1,20,1
GVK One Mall,Hyderabad,Telangana,GVK One Mall Hyderabad Telangana ,17.4187203,78.4486097,4.3,11:00,21:30,,Entertainment,3,0,0
Haji Ali,Mumbai,Maharashtra,"Haji Ali Haji Ali, Mumbai Maharashtra ",18.9778192,72.8104819,3.9,5:30,22:00,"5:30AM-10:00PM, Open on all days",Religious,1,0,0
Hanging Garden,Mumbai,Maharashtra,"Hanging Garden Malabar Hill, Mumbai Maharashtra ",18.9568956,72.8043330,3,5:00,21:00,"5:00AM-9:00PM, Open on all days",Leisure,0.5,0,0
Hauz Khas Fort,Delhi NCR,Delhi NCR,Hauz Khas Fort Delhi NCR ,28.5531541,77.1935275,2,8:00,19:00,"Sunday Closed ,rest - 10:30 am – 7:00 pm",Heritage,4,25,1
High Street Phoenix,Mumbai,Maharashtra,High Street Phoenix Mumbai Maharashtra ,18.9947440,72.8245993,4.5,11:00,22:00,,Mall,1.5,0,0
Holy Name Cathedral,Mumbai,Maharashtra,Holy Name Cathedral Mumbai Maharashtra ,18.9233592,72.8306699,4.2,7:30,18:30,,Religious,0.5,0,0
Humayun's Tomb,Delhi NCR,Delhi NCR,Humayun's Tomb Delhi NCR ,28.5929646,77.2510223,3.5,6:00,18:00,Timings: 6:00 am to 6:00 pm,Heritage,2,30,1
Hussain Sagar Nature & Wildlife,Hyderabad,Telangana,Hussain Sagar Nature & Wildlife Hyderabad Telangana ,17.4238798,78.4738215,4.3,9:00,21:00,,Nature & Wildlife,4,5,1
India Gate,Delhi NCR,Delhi NCR,India Gate Delhi NCR ,28.6110886,77.2345184,4.7,12:00,12:00,"The monument is open all day on all days of the week. However, the best time to visit India Gate is between 07:00 PM and 09:30 PM. The timings for the light show at India Gate is between 07:00 PM and 09:30 PM. This is when the structure is lit up and there are m  street food vendors around.",Heritage,0.75,0,0
India Habitat Center,Delhi NCR,Delhi NCR,India Habitat Center Delhi NCR ,28.7040592,77.1024902,4.6,8:00,22:00,,Entertainment,1.5,0,0
India Seashell Museum,Chennai,Tamil Nadu,India Seashell Museum ChennaiTamil Nadu ,13.0826802,80.2707184,4.3,8:00,20:00,,Art & Museum,2,150,1
Indian Air Force Museum,Delhi NCR,Delhi NCR,Indian Air Force Museum Delhi NCR ,28.5740052,77.1167105,3,10:00,17:00,"Closed OnMonday, Tuesday and All government holidays",Art & Museum,,0,0
Indian Memorial War Museum,Delhi NCR,Delhi NCR,Indian Memorial War Museum Delhi NCR ,28.7040592,77.1024902,3,10:00,17:00,,Art & Museum,1.5,5,1
Indira Gandhi Memorial Museum,Delhi NCR,Delhi NCR,Indira Gandhi Memorial Museum Delhi NCR ,28.5998927,77.2060499,4,9:30,16:45,Closed on Monday,Art & Museum,0.75,0,0
Inorbit Mall,Hyderabad,Telangana,Inorbit Mall Hyderabad Telangana ,17.4353482,78.3828172,4.5,11:00,20:00,,Entertainment,3,0,0
ISKCON Temple,Hyderabad,Telangana,ISKCON Temple Hyderabad Telangana ,17.3850440,78.4866710,4.7,4:30,20:30,,Religious,2,0,0
ISKCON Temple,Mumbai,Maharashtra,"ISKCON Temple Juhu, Mumbai Maharashtra ",19.1075424,72.8263142,4,4:30,20:30,"4:30AM-8:30PM, Open on all days",Religious,0.5,0,0
ISKCON Temple,Delhi NCR,Delhi NCR,ISKCON Temple Delhi NCR ,28.5561344,77.2532100,4.8,4:30,21:00,4:30 AM - 09:00 PM The core temple hall is closed between 01:00 PM to 04:00 PM,Religious,2,0,0
ISKCON Temple,Chennai,Tamil Nadu,"ISKCON Temple Hare Krishna Land, Bhaktivedanta Swami Road, Off ECR, Sholinganallur, Chennai-600119  Tamil Nadu ",12.9061340,80.2419164,4.5,7:30,22:00," Daily 7.30 AM to 1 PM and 4 PM to 8 PM                                                                          The best time to visit the ISKCON temple is during the winter season (October-February) as the climate is mild and cool. 

In regards to the day, the best time of the day to visit the ISKCON temple is between 8 pm to 9 pm as the special and last aarti of the temple starts around 8.30 pm. Also, in the night time, you will be able to see the wonderful lights and decorations of the temple.",Religious,1,0,0
Jalavihar,Hyderabad,Telangana,Jalavihar Hyderabad Telangana ,17.4322215,78.4648931,4,10:30,19:00,,Entertainment,6,350,1
Jama Masjid,Delhi NCR,Delhi NCR,Jama Masjid Delhi NCR ,28.6516128,77.2354859,4,7:00,18:30,"Timings: 7:00 am to 12:00 pm, 1:30 pm to 6:30 pm",Religious,0.75,0,0
Janpath Market,Delhi NCR,Delhi NCR,Janpath Market Delhi NCR ,28.6290786,77.2187638,5,11:00,21:00,"Janpath market timings alter only during national holidays or festivals. While during regular days, Janpath market opening time is 10 a.m. The markets here close by 8 p.m. During winters, the markets open a little late and close early while during summers the shops open a bit early, around 9.30 a.m. in the morning.",Shopping,2,0,0
Jantar Mantar,Delhi NCR,Delhi NCR,Jantar Mantar Delhi NCR ,28.6270547,77.2166267,4,6:00,18:00,Timings: 6:00 AM to 6:00 PM on all days,Heritage,2,5,1
Jehangir Art Gallery,Mumbai,Maharashtra,"Jehangir Art Gallery Fort, Mumbai Maharashtra ",18.9273983,72.8316856,3,11:00,19:00,"11:00AM-7:00PM, Oen on all days",Art & Museum,0.5,0,0
Jewel Of Nizam – The Minar,Hyderabad,Telangana,Jewel Of Nizam – The Minar Hyderabad Telangana ,17.3886638,78.3162225,4.3,12:30,23:00,,Food,2,1250,1
Juhu Chowpatty,Mumbai,Maharashtra,"Juhu Chowpatty Juhu, Mumbai Maharashtra ",19.0974187,72.8264476,5,0:00,23:59,"12:00AM-12:00PM, Open on all days",Beaches,1,0,0
Kanchi Kamakshi Amman Temple,Chennai,Tamil Nadu,Kanchi Kamakshi Amman Temple ChennaiTamil Nadu ,13.0826802,80.2707184,4.2,5:30,20:15,"Timings : 5:30 AM - 12:15 PM, 4:00 PM - 8:15 PM (Friday till 9:30 PM and Pournami day till 10:30 PM)",Religious,2.5,0,0
Kanheri Caves,Mumbai,Maharashtra,Kanheri Caves Mumbai Maharashtra ,19.2058509,72.9068504,4,7:30,17:00,Closed on Mondays,Nature & Wildlife,1.5,15,1
Kapaleeswarar Temple,Chennai,Tamil Nadu,"Kapaleeswarar Temple Vinayaka Nagar Colony, Mylapore, ChennaiTamil Nadu ",13.0343819,80.2690685,3,5:00,21:00,5:00 am to 12:00 pm and 4:00 pm to 9:00 pm,Religious,1.5,0,0
Karol Bagh Market,Delhi NCR,Delhi NCR,Karol Bagh Market Delhi NCR ,28.6494029,77.1913482,4,9:00,23:00,24/7 Open,Shopping,1,0,0
Kasimedu Beach,Chennai,Tamil Nadu,"Kasimedu Beach Bajanai Koil St, Kovalam, Tamil Nadu 603112, India Tamil Nadu ",12.7957896,80.2470605,4.3,12:00,12:00,,Leisure,1.5,0,0
KBR National Park,Hyderabad,Telangana,KBR National Park Hyderabad Telangana ,17.4197575,78.4197681,4.4,5:00,9:30,,Nature & Wildlife,2,0,0
Keneseth Eliyahoo Synagogue,Mumbai,Maharashtra,Keneseth Eliyahoo Synagogue Mumbai Maharashtra ,18.9281033,72.8325519,4.5,11:00,17:30,,Religious,0.33,0,0
Khan Chacha,Delhi NCR,Delhi NCR,Khan Chacha Delhi NCR ,28.6006759,77.2272916,4,12:00,23:00,,Food,1,500,1
Khan Market,Delhi NCR,Delhi NCR,Khan Market Delhi NCR ,28.6000912,77.2270425,4,10:00,23:00,The shops open at 10:00 am and close by 11:00 pm. The market is closed on Sundays.,Shopping,1,0,0
Khotachiwadi,Mumbai,Maharashtra,"Khotachiwadi Girgaon,Mumbai Maharashtra ",18.9556405,72.8203070,4.1,10:00,19:00,,Leisure,0.5,0,0
Kidzania,Delhi NCR,Delhi NCR,Kidzania Delhi NCR ,28.5647843,77.3220308,4,11:00,17:00,"Timings: 10:30 am to 8:00 pm, Closed on Mondays",Entertainment,5,1300,1
Kidzania,Mumbai,Maharashtra,Kidzania Mumbai Maharashtra ,19.0997950,72.9168220,4.5,10:00,20:00,"September, October, November, December, January, February, March",Entertainment,3,950,1
Kingdom of Dreams,Delhi NCR,Delhi NCR,Kingdom of Dreams Delhi NCR ,28.4678664,77.0688866,4,12:30,23:59,Timings: 12:30 pm to 12:00 am on weekdays and 12:00 pm to 12:00 am on weekends (Closed on Monday),Entertainment,4,1099,1
Kismet,Hyderabad,Telangana,Kismet Hyderabad Telangana ,17.4234525,78.4622614,4,20:00,23:59,Night,Food,4,1500,1
Kovalam Beach,Chennai,Tamil Nadu,Kovalam Beach ChennaiTamil Nadu ,12.7898039,80.2541667,4.2,12:00,12:00,,Leisure,1.5,0,0
Krishna's Butter Ball,Chennai,Tamil Nadu,Krishna's Butter Ball ChennaiTamil Nadu ,12.6191034,80.1923690,4.5,6:00,18:00,,Leisure,1.5,0,0
Kunzum Travel Cafe,Delhi NCR,Delhi NCR,Kunzum Travel Cafe Delhi NCR ,28.5535410,77.1943230,4.5,11:00,19:30,,Food,1,500,1
Laad Bazaar,Hyderabad,Telangana,Laad Bazaar Hyderabad Telangana ,17.3628791,78.4741288,4.1,11:00,23:00,,Shopping,2,0,0
Lajpat Market,Delhi NCR,Delhi NCR,Lajpat Market Delhi NCR ,28.5680047,77.2435590,4.5,11:00,21:00,Closed on Monday.,Shopping,1,0,0
Linking Road,Mumbai,Maharashtra,"Linking Road Bandra, Mumbai Maharashtra ",19.0641895,72.8349302,4,11:00,22:00,"11:00AM-10:00PM, Open on all days",Shopping,1,0,0
Lodhi Garden,Delhi NCR,Delhi NCR,Lodhi Garden Delhi NCR ,28.5930959,77.2196794,3,6:00,20:00,"5:00 am – 8:00 pm (April-Sep)
6:00 am – 8:00 pm (Oct-March)",Leisure,1,0,0
Lotus Temple,Delhi NCR,Delhi NCR,Lotus Temple Delhi NCR ,28.5534920,77.2588264,4.2,9:30,17:30,"All days of the week except Monday: October-March: 9:30 AM - 5:30 PM, April-September: 9:30 AM - 7:00 PM",Religious,0.5,0,0
Lumbini Park,Hyderabad,Telangana,Lumbini Park Hyderabad Telangana ,17.4099849,78.4731953,4.1,9:00,21:00,Laser Show Timings: Weekdays – 7.15 PM; Weekends: 7.15 PM and 8.30 PM,Entertainment,2,0,0
Madina Market,Hyderabad,Telangana,Madina Market Hyderabad Telangana ,17.3679739,78.4741288,4.3,10:00,21:00,,Shopping,2,0,0
Madras War Cemetery,Chennai,Tamil Nadu,Madras War Cemetery ChennaiTamil Nadu ,13.0140107,80.1939804,4,8:00,18:00,,Heritage,0.5,0,0
Mahabalipuram Beach,Chennai,Tamil Nadu,Mahabalipuram Beach ChennaiTamil Nadu ,12.6121234,80.1969215,4,12:00,12:00,"The best time to visit Mahabalipuram Beach is in the winter season from November to February when the region enjoys warm days and cold nights. The soothing climatic conditions of the region make the sightseeing tour at the beach comfortable and tourists can indulge in outdoor activities pleasantly. This is the peak season to visit the beach and to explore the popular attractions located near the beach.

During the summer season, this place experiences hot weather, which makes sightseeing tours uncomfortable. The occasional rainfall also increases the humidity level in Mahabalipuram. However, for budget travelers, the summer and monsoon season is a great time to travel to Mahabalipuram as most of the hotels remain empty and they can find accommodation within their budget.",Leisure,2.5,0,0
Mahabubnagar,Hyderabad,Telangana,Mahabubnagar Hyderabad Telangana ,17.4337337,78.4876598,4,0:00,23:59,,Heritage,3,0,0
Mahalakshmi Temple,Mumbai,Maharashtra,"Mahalakshmi Temple Cumbala Hill, Mumbai Maharashtra ",18.9761540,72.8075470,4,6:00,22:00,"6:00AM-10:00PM, Open all days",Religious,0.5,0,0
Mahalaxmi Racecourse,Mumbai,Maharashtra,Mahalaxmi Racecourse Mumbai Maharashtra ,18.9842089,72.8200753,4.1,5:00,9:00,,Entertainment,1,0,0
Mahishasur Mardini Cave,Chennai,Tamil Nadu,Mahishasur Mardini Cave ChennaiTamil Nadu ,12.6167569,80.1917718,4.9,12:00,12:00,,Nature & Wildlife,1,0,0
Mani Bhavan,Mumbai,Maharashtra,Mani Bhavan Mumbai Maharashtra ,18.9575607,72.8113902,4,9:30,17:30,Open Everyday. Library is closed on 2nd and 4th Saturdays,Art & Museum,1,0,0
Marina Beach,Chennai,Tamil Nadu,"Marina Beach Marina Beach, ChennaiTamil Nadu ",13.0499526,80.2824026,5,0:00,23:59,Open All Day,Beaches,2,0,0
Marine Drive,Mumbai,Maharashtra,Marine Drive Mumbai Maharashtra ,18.9432503,72.8229845,4.8,5:00,2:00,Sunday Mornings and in evening with Friends and Family,Beaches,1,0,0
Marundeeswarar Temple,Chennai,Tamil Nadu,"Marundeeswarar Temple  Lalitha Nagar, Thiruvanmiyur, ChennaiTamil Nadu ",12.9848787,80.2602188,4.5,5:00,21:00,5:00 am to 12:00 pm and 4:00 pm to 9:00 pm,Religious,2,0,0
Matsya Narayan Temple,Chennai,Tamil Nadu,Matsya Narayan Temple ChennaiTamil Nadu ,12.8786756,80.2511761,4.7,6:00,20:30,"Timings: 6–10am, 5–8:30pm",Religious,1,0,0
Mecca Masjid,Hyderabad,Telangana,Mecca Masjid Hyderabad Telangana ,17.3604416,78.4735712,4.7,4:00,21:30,,Religious,2,0,0
